SYMBOL , QUANTITY , Lending Fee (Rs.),Turnover (Rs.),Weighted Average yield %,Count of Trades
WELSPUNLIV,28397,34744.9,4093519.87,9.6,39
TECHM,4205312,23362465.91,6099634460.31,4.03,5403
COLPAL,618575,1355887.15,1274421894.35,1.09,1614
LTF,11322179,22204321.26,3155460884.41,6.07,7505
NYKAA,11499,21149.25,3486140.1,33.67,4
CAMS,1902,1358.29,1483673.39,1.61,20
FORCEMOT,47672,4616932.11,881464699.11,4.84,1432
SWIGGY,16064,23616.4,3860494,7.56,34
ADANIENT,5361,29898.66,15900650.06,3.2,16
ADANIPORTS,404,351.16,722215.96,1.79,3
BLUESTARCO,695263,3012168.47,1144737406.27,2.53,1144
MAHKTECH,288774,45557.97,6552131.55,6.46,133
NIFTYBEES,8747,2034.15,2336568.58,.6,10
JAIBALAJI,43915,26315,2994648.55,4.7,15
ECLERX,4,40,6071.6,6.91,1
SONACOMS,35572,34607.98,21586234.98,1.42,27
RAYMONDLSL,4,8,3027.6,2.84,1
GOLDIAM,5,74.5,2122.75,39.04,1
GESHIP,8,22.72,11809.12,5.41,1
AGI,3,18,2199,16.73,1
CGPOWER,7930,7329.42,7424347.37,2.19,21
ALKEM,128,1295,694458.5,11.15,2
GALLANTT,331,3992.4,228807.6,34.11,9
HBLENGINE,586,238.2,483974.7,2.59,4
TATASTEEL,182462,20996.68,37978457.82,.5,36
CUMMINSIND,801,967.9,4589431.9,.8,6
SPARC,838,517.5,171553.3,4.6,3
KSB,4190,4190,3968349,.94,2
EIDPARRY,1,2,743.2,2.89,1
RAYMOND,1,8.9,549.3,17.17,1
HINDUNILVR,1662,1789.11,3513521.21,1.25,9
JWL,601,300.2,158333.15,1.98,5
HCC,375,11.32,10431.19,3.02,2
LENSKART,20,176,10516,47.79,1
M&M,1000,960.23,3083460.23,1.62,7
GVT&D,32,300.47,165424.47,2.82,2
CONCORDBIO,11,11.11,11573.21,1,1
TMCV,597,262.68,226854.03,1.2,1
CEATLTD,1,4.95,3246.05,1.59,1
SENORES,2,59.9,2195.5,30.11,1
CIPLA,676,250.18,978927.78,1.12,6
MEDANTA,39,125.58,50361.48,7.01,1
WEBELSOLAR,944,944,102254.08,10.62,1
RRKABEL,34,313.82,80326.02,11.01,3
LGEINDIA,1,7.85,1577.45,9.6,1
NUVOCO,500,3136.42,158361.42,38.81,6
JSWSTEEL,22,14.3,27096.3,2.75,1
KERNEX,10,24.2,20586.2,7.15,1
