ISIN,Description,Trade Date,Quantity,Nominal Value,Weighted Average Price,Weighted Average Yield
INE530B07617,IIFL FINANCE LIMITED SR IV TR I 8.7 NCD 06MR28 FVRS1000,02-Jul-2026,3000,3000000.00,99.27,9.12
INE07HK07817,KRAZYBEE SERVICES LIMITED 10.40 NCD 25JN27 FVRS1LAC,01-Jul-2026,64,6400000.00,99.91,11.14
INE033L07IN3,TATA CAPITAL HOUSING FINANCE LIMITED SR A 7.27 NCD 25AP28 FVRS1LAC,01-Jul-2026,5000,500000000.00,99.56,7.50
INE090A08UE8,ICICI BANK LIMITED SR DJU21LB 6.45 BD 15JU28 FVRS10LAC,01-Jul-2026,400,400000000.00,98.74,7.15
INE101Q07BL6,MUTHOOT MCRED LIMITED SR II 9.25 NCD 29AG27 FVRS1000,01-Jul-2026,7490,7490000.00,98.42,11.24
INE134E08KI8,POWER FINANCE CORPORATION LIMITED SERIES 193 7.93 NCD 31DC29 FVRS10LAC,01-Jul-2026,100,100000000.00,101.95,7.25
INE134E08NP7,POWER FINANCE CORPORATION LIMITED SR 248B 7.45 NCD 15JL28 FVRS1LAC,02-Jul-2026,2500,250000000.00,100.58,7.12
INE261F08DX0,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 23H 7.58 LOA 31JL26 FVRS1LAC,01-Jul-2026,11500,1150000000.00,100.05,6.51
INE312X08034,MAGMA GENERAL INSURANCE LIMITED 9.70 NCD 20MR34 FVRS1LAC,30-Jun-2026,500,50000000.00,100.10,9.61
INE342T07544,NAVI FINSERV LIMITED 10.75 NCD 31DC27 FVRS10000,02-Jul-2026,3965,39650000.00,100.44,10.94
INE413U07384,IIFL SAMASTA FINANCE LIMITED 9.50 NCD 05FB27 FVRS37500,02-Jul-2026,189,7087500.00,97.75,18.08
INE413U08093,IIFL SAMASTA FINANCE LIMITED 11 LOA 18MY30 FVRS1LAC,01-Jul-2026,23,2300000.00,100.00,10.97
INE340A07084,BIRLA CORPORATION LIMITED SR-VI 9.25 LOA 18AG26 FVRS400000,02-Jul-2026,50,20000000.00,100.18,7.25
INE556F08KX8,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VIII 7.49 BD 11JU29 FVRS1LAC,01-Jul-2026,2500,250000000.00,100.27,7.37
INE884Q07822,MIDLAND MICROFIN LIMITED 11.70 NCD 30JU27 FVRS1LAC,01-Jul-2026,9,900000.00,99.70,12.70
INE998Y07212,BERAR FINANCE LIMITED 11 NCD 25SP28 FVRS1LAC,02-Jul-2026,7,700000.00,100.44,11.25
INE101Q07CA7,MUTHOOT MCRED LIMITED 9.30 NCD 20NV28 FVRS10000,02-Jul-2026,90,900000.00,97.40,11.05
INE180C07304,CAPRI GLOBAL CAPITAL LIMITED SR II TR I 8.80 NCD 30AP29 FVRS1000,01-Jul-2026,100,100000.00,99.74,9.27
INE926R07027,UNIFINZ CAPITAL INDIA LIMITED 13 NCD 23AP28 FVRS10000,02-Jul-2026,50,500000.00,94.94,17.50
