413,SUNDARMFIN,INE660A01013,4589.2,13.77
414,RBLBANK,INE976G01028,355.5,14.15
415,OLECTRA,INE260D01016,1537.8,19.42
416,HONASA,INE0J5401028,469.5,15.37
417,MINDACORP,INE842C01021,709.05,13.95
418,LUMAXIND,INE162B01018,5380.5,19.67
419,VINATIORGA,INE410B01037,1300.1,10.36
420,RELIANCE,INE002A01018,1303.5,9
421,ANURAS,INE930P01018,1273.7,10.76
422,AHLUCONT,INE758C01029,856.15,15.4
423,V2RETAIL,INE945H01021,229.79,18.2
424,SIGNATURE,INE903U01023,763.5,14.33
425,DEEPAKFERT,INE501A01019,1664.3,18.38
426,HAPPSTMNDS,INE419U01012,351.95,14.16
427,SFL,INE916U01025,763,14.92
428,WELSPUNLIV,INE192B01031,166.83,19.15
429,INFY,INE009A01021,1040.9,11.92
430,LIQUID,INF769K01KS1,999.99,5
431,RATNAVEER,INE05CZ01011,177.02,19.61
432,HDFCLIQUID,INF179KC1JG3,1067.46,5
433,SHAREINDIA,INE932X01026,139,17.99
434,LATENTVIEW,INE0I7C01011,278.95,18.12
435,VARROC,INE665L01035,656.3,15.09
436,KANSAINER,INE531A01024,212.56,10.72
437,VIKRAMSOLR,INE078V01014,191.96,15.35
438,SBIN,INE062A01020,1051.6,9.72
439,METAL,INF769K01LY7,12.62,9.2
440,DELTACORP,INE124G01033,67.88,21.06
441,LINDEINDIA,INE473A01011,7190.5,12.92
442,PRESTIGE,INE811K01011,1674.1,14.9
443,GRASIM,INE047A01021,3169.2,9
444,NHPC,INE848E01016,80.59,11.63
445,SHILPAMED,INE790G01031,600.85,17.67
446,TECHM,INE669C01036,1421.3,11.44
447,REDINGTON,INE891D01026,279.2,19.19
448,ALKEM,INE540L01014,5500.5,9.18
449,NTPC,INE733E01010,358.25,9
450,JIOFIN,INE758E01017,239.73,11.87
451,PIDILITIND,INE318A01026,1605.4,9
452,HERITGFOOD,INE978A01027,334.65,14.92
453,RENUKA,INE087H01022,23.16,14.84
454,LICI,INE0J1Y01017,432.1,10.53
455,PPLPHARMA,INE0DK501011,168.29,14.9
456,CENTUM,INE320B01020,3694,21.86
457,JINDALSAW,INE324A01032,262.9,19.84
458,JBCHEPHARM,INE572A01036,2321.2,9.51
459,UNITDSPR,INE854D01024,1373.4,9.9
460,BLACKBUCK,INE0UIZ01018,550.65,17.03
461,SGBNOV26,IN0020180314,14499,10
462,SGBSEP28VI,IN0020200195,14242.23,10
463,JAMNAAUTO,INE039C01032,139.46,16.59
464,BAJAJHFL,INE377Y01014,88.65,9.66
465,CMSINFO,INE925R01014,275.55,11.39
466,ARVINDFASN,INE955V01021,474.6,15.21
467,JAICORPLTD,INE070D01027,115.58,20.66
468,SBICARD,INE018E01016,604.55,10.59
469,KOTAKBANK,INE237A01036,399.3,9
470,JINDRILL,INE742C01031,552.85,21.65
471,TEGA,INE011K01018,1670.5,14.64
472,LOWVOLIETF,INF109KC19U5,21.98,9
473,RUBICON,INE506V01022,1374.2,14.52
474,PHOENIXLTD,INE211B01039,2012.5,12.81
475,AUROPHARMA,INE406A01037,1561,11
476,MODEFENCE,INF247L01DJ0,105.3,10.48
477,CERA,INE739E01017,6476,12.7
478,ALIVUS,INE03Q201024,1159.2,12.76
479,TBOTEK,INE673O01025,1526.3,15.94
480,AVANTEL,INE005B01027,180.18,19.9
481,HINDUNILVR,INE030A01027,2210.6,9
482,LUPIN,INE326A01037,2399.6,9.03
483,ITBEES,INF204KB15V2,29.94,9.75
484,ALPL30IETF,INF109KC17V7,27.52,9
485,SETFGOLD,INF200KA16D8,121.44,11.41
486,AURIONPRO,INE132H01018,887.6,20.4
487,MIDCAPETF,INF769K01IC9,23.45,9
488,SUDARSCHEM,INE659A01023,896.75,16.79
489,KSB,INE999A01023,946.2,12.8
490,LAURUSLABS,INE947Q01028,1528,12.89
491,SUPREMEIND,INE195A01028,3275.6,12.36
492,SYMPHONY,INE225D01027,691.45,13.64
493,SGBOCT26,IN0020180249,14100,10
494,HINDOILEXP,INE345A01011,159.31,19.34
495,MON100,INF247L01AP3,335.9,9.17
496,VIPIND,INE054A01027,313.95,16.3
497,PTC,INE877F01012,177.28,14.48
498,HDFCAMC,INE127D01025,2759.6,13.03
499,JUSTDIAL,INE599M01018,555.45,13.18
500,GOLD1,INF174KA1HJ8,118.8,11.56
501,MOSCHIP,INE935B01025,208.52,22.39
502,ACE,INE731H01025,1016.7,15.1
503,PTCIL,INE596F01018,17487,16.5
504,THOMASCOOK,INE332A01027,106.44,19.64
505,SGBJ28VIII,IN0020190537,14235,10
506,LIQUIDETF,INF740KA1EU7,1000,5
507,FRACTAL,INE212S01015,897.3,12.71
508,UJJIVANSFB,INE551W01018,61.4,15.77
509,KALYANKJIL,INE303R01014,388.1,18.13
510,SYRMA,INE0DYJ01015,1398.3,18.64
511,BELRISE,INE894V01022,238.2,13.69
512,BALRAMCHIN,INE119A01028,567.2,13.76
513,PATELENG,INE244B01030,34.42,17.86
514,TATAELXSI,INE670A01012,3671.1,12.95
515,SGBMAR31IV,IN0020220169,14469.53,10
516,DBL,INE917M01012,437.3,15.24
517,SGBJAN30IX,IN0020210236,14330.51,10
518,MOSMALL250,INF247L01CH6,17.99,9
519,LENSKART,INE956O01016,530.4,10.72
