Date,ISIN,Scrip Name,Symbol,Notional Open Interest,Portfolio-wise Futures Equivalent Open Interest
02-07-2026,INE117A01022,ABB INDIA LIMITED,ABB,3506625,2533264.87791250
02-07-2026,INE04I401011,KPIT TECHNOLOGIES LIMITED,KPITTECH,51184100,17349457.18942925
02-07-2026,INE081A01020,TATA STEEL LIMITED,TATASTEEL,337961250,214598245.30632250
02-07-2026,INE498L01015,L&T FINANCE LIMITED,LTF,64962000,44197459.90624250
02-07-2026,INE944F01028,RADICO KHAITAN LTD,RADICO,912000,512536.87968050
02-07-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,183783675,120430541.83512675
02-07-2026,INE417T01026,PB FINTECH LIMITED,POLICYBZR,9069550,7265112.93187350
02-07-2026,INE745G01043,MULTI COMMODITY EXCHANGE,MCX,17785800,9411346.22910575
02-07-2026,INE260B01028,GODFREY PHILLIPS INDIA LT,GODFRYPHLP,2225850,1862082.92239425
02-07-2026,INE481G01011,ULTRATECH CEMENT LIMITED,ULTRACEMCO,3270950,2551082.22264600
02-07-2026,INE075A01022,WIPRO LTD,WIPRO,538077000,357453078.12010000
02-07-2026,INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,22209250,17880116.37804800
02-07-2026,INE202E01016,INDIAN RENEWABLE ENERGY,IREDA,99219675,55569495.67770775
02-07-2026,INE061F01013,FORTIS HEALTHCARE LTD,FORTIS,13602025,11166618.63107600
02-07-2026,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,14504000,11032400.74917500
02-07-2026,INE267A01025,HINDUSTAN ZINC LIMITED,HINDZINC,61953150,33692523.73466275
02-07-2026,INE200A01026,GE VERNOVA T&D INDIA LTD,GVT&D,2334375,1390315.64534625
02-07-2026,INE0J1Y01017,LIFE INSURA CORP OF INDIA,LICI,35147000,21404488.68422000
02-07-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3110000,1965038.85932200
02-07-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,3537500,2388106.81966375
02-07-2026,INE200M01039,VARUN BEVERAGES LIMITED,VBL,71540250,59807893.06898325
02-07-2026,INE0BS701011,PREMIER ENERGIES LIMITED,PREMIERENE,10344750,8308024.93544550
02-07-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,27217029,18397158.19987702
02-07-2026,INE160A01022,PUNJAB NATIONAL BANK,PNB,433904000,325623659.88656000
02-07-2026,INE192R01011,AVENUE SUPERMARTS LIMITED,DMART,5445150,3539922.85449750
02-07-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,34125900,24124654.82599200
02-07-2026,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,18276100,9154730.86096100
02-07-2026,INE01EA01019,VISHAL MEGA MART LIMITED,VMM,50435150,42466903.96483000
02-07-2026,INE377N01017,WAAREE ENERGIES LIMITED,WAAREEENER,9680125,7189462.44539400
02-07-2026,INE148O01028,DELHIVERY LIMITED,DELHIVERY,53149050,31569259.87389800
02-07-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,388200,253875.85221000
02-07-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,5224800,3289226.18416575
02-07-2026,INE562A01011,INDIAN BANK,INDIANB,23265000,16306371.56461000
02-07-2026,INE090A01021,ICICI BANK LTD.,ICICIBANK,159925500,130224765.06488800
02-07-2026,INE775A01035,SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,194807400,139043490.69132200
02-07-2026,INE388Y01029,FSN E COMMERCE VENTURES,NYKAA,68115625,54084383.33084375
02-07-2026,INE0V6F01027,HYUNDAI MOTOR INDIA LTD,HYUNDAI,6521075,5359868.10652950
02-07-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,60481000,39717579.18878500
02-07-2026,INE765G01017,ICICI LOMBARD GIC LIMITED,ICICIGI,5703425,4718031.47927800
02-07-2026,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,14710125,12211480.61389500
02-07-2026,INE494B01023,TVS MOTOR COMPANY  LTD,TVSMOTOR,16237550,13429120.72505150
02-07-2026,INE020B01018,REC LIMITED,RECLTD,72265725,50560436.58055875
02-07-2026,INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,12632250,6686923.79117650
02-07-2026,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,9873600,9047673.29307200
02-07-2026,INE758E01017,JIO FIN SERVICES LTD,JIOFIN,231282300,172601000.87533650
02-07-2026,INE084A01016,BANK OF INDIA,BANKINDIA,128939200,94294476.65387600
02-07-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,191600600,137164434.82328400
02-07-2026,INE356A01018,MPHASIS LIMITED,MPHASIS,6354700,5031690.56438850
02-07-2026,INE018A01030,LARSEN & TOUBRO LTD.,LT,24921925,15689980.56683775
02-07-2026,INE07Y701011,HITACHI ENERGY INDIA LTD,POWERINDIA,832650,449329.49318200
02-07-2026,INE584A01023,NMDC LTD.,NMDC,471926250,370265989.47169500
02-07-2026,INE066P01011,INOX WIND LIMITED,INOXWIND,157350400,101874142.29252800
02-07-2026,INE338I01027,MOTILAL OSWAL FIN LTD,MOTILALOFS,6728550,5019359.38142700
02-07-2026,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,29713750,23177724.64978750
02-07-2026,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,8609000,7049504.48026000
02-07-2026,INE685A01028,TORRENT PHARMACEUTICALS L,TORNTPHARM,3701625,2996821.33375250
02-07-2026,INE118H01025,BSE LIMITED,BSE,15766800,8527097.16442400
02-07-2026,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,19826250,14599883.71388750
02-07-2026,INE010B01027,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,14986800,11247367.78057400
02-07-2026,INE752E01010,POWER GRID CORP. LTD.,POWERGRID,103715300,77806976.66717800
02-07-2026,INE009A01021,INFOSYS LIMITED,INFY,191364000,128456233.91705600
02-07-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,12220875,6725344.85976725
02-07-2026,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,14751750,13380037.07630500
02-07-2026,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,129954800,99399004.07659700
02-07-2026,INE776C01039,GMR AIRPORTS LIMITED,GMRAIRPORT,217487475,146742854.99177500
02-07-2026,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,60984000,51549887.17184000
02-07-2026,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,119025000,92404062.13732500
02-07-2026,INE040H01021,SUZLON ENERGY LIMITED,SUZLON,660971500,421760780.98965600
02-07-2026,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,50743125,44183649.74460475
