TATA CONSULTANCY SERV LT      ,TCS       ,X7,07-JUL-2026,N,0000002.00,0000000.20,0000000.50,0000000.20,0000000.50,    ,            85,             42.20,0000044.57,0000000.02,02-JUL-2026,       2
TATA CONSULTANCY SERV LT      ,TCS       ,X8,04-AUG-2026,N,0000001.66,0000000.60,0000000.60,0000000.60,0000000.60,    ,             1,              0.60,0000009.00,0000000.11,02-JUL-2026,       1
TENNECO CLEAN AIR INDIA L     ,TENNIND   ,X8,04-AUG-2026,N,0000010.00,0000003.50,0000010.90,0000003.50,0000010.90,    ,          2684,          28442.23,0000010.90,0000003.50,02-JUL-2026,       9
TATA MOTORS PASS VEH LTD      ,TMPV      ,X8,04-AUG-2026,N,0000000.27,0000000.10,0000000.10,0000000.10,0000000.10,    ,           209,             20.90,0000000.27,0000000.10,02-JUL-2026,       3
TORRENT PHARMACEUTICALS L     ,TORNTPHARM,X8,04-AUG-2026,N,0000025.00,0000005.00,0000006.00,0000005.00,0000006.00,    ,            58,            345.00,0000025.00,0000002.20,02-JUL-2026,       2
VOLTAS LTD                    ,VOLTAS    ,X8,04-AUG-2026,N,0000000.01,0000005.00,0000005.00,0000005.00,0000005.00,    ,            50,            250.00,0000012.80,0000000.01,02-JUL-2026,       1
WAAREE ENERGIES LIMITED       ,WAAREEENER,X8,04-AUG-2026,N,0000008.00,0000000.02,0000007.00,0000000.02,0000002.00,    ,          2450,          15349.15,0000019.99,0000000.02,02-JUL-2026,      13
WEBSOL ENERGY SYSTEM LTD      ,WEBELSOLAR,X8,04-AUG-2026,N,0000012.00,0000001.00,0000001.00,0000001.00,0000001.00,    ,           590,            590.00,0000012.00,0000001.00,02-JUL-2026,       2
WIPRO LTD                     ,WIPRO     ,X8,04-AUG-2026,N,0000001.24,0000000.56,0000002.02,0000000.56,0000001.86,    ,       3942757,        6339029.29,0000006.65,0000000.05,02-JUL-2026,    1172
WIPRO LTD                     ,WIPRO     ,X9,01-SEP-2026,N,0000002.85,0000001.11,0000003.02,0000001.11,0000002.30,    ,        113299,         308249.48,0000003.02,0000000.01,02-JUL-2026,      87
