Sr no,Security,Series,Outstanding Quantity at the end of the day
497,MTARTECH,X7,14162
498,MTARTECH,X8,6310
499,MTARTECH,X9,601
500,MTARTECH,XO,11
501,MUTHOOTFIN,X7,123649
502,MUTHOOTFIN,X8,267947
503,MUTHOOTFIN,XO,3
504,NAM-INDIA,X4,85
505,NAM-INDIA,X5,10154
506,NAM-INDIA,X7,42836
507,NAM-INDIA,X8,579851
508,NATCOPHARM,X7,27
509,NATIONALUM,X7,50830
510,NAUKRI,X7,375
511,NAUKRI,X8,127
512,NCC,X7,5
513,NEOGEN,X7,3
514,NESTLEIND,X7,74166
515,NESTLEIND,X8,75
516,NETWEB,X7,16
517,NEULANDLAB,X7,1
518,NEWGEN,X7,200
519,NH,X7,2
520,NHPC,X4,4357
521,NHPC,X5,202
522,NHPC,X7,35394575
523,NHPC,X8,4037670
524,NIACL,X7,42
525,NIFTYBEES,X7,21
526,NIFTYBEES,X8,8705
527,NLCINDIA,X7,1041771
528,NMDC,X7,443
529,NOCIL,X7,26051
530,NTPC,X7,12000
531,NUVAMA,X4,100
532,NUVAMA,X5,25
533,NUVAMA,X7,74941
534,NUVAMA,X8,969127
535,NUVAMA,X9,1950
536,NUVOCO,X7,500
537,NYKAA,X7,10809
538,NYKAA,X8,4028
539,OBEROIRLTY,X5,7
540,OBEROIRLTY,X7,22533
541,OFSS,X4,26
542,OFSS,X7,133403
543,OFSS,X8,10312
544,OIL,X7,9264
545,OIL,X8,24280
546,OLAELEC,X7,1741200
547,ONGC,X7,10056
548,ONGC,X8,1000
549,PAGEIND,X7,1079
550,PAGEIND,X8,1133
551,PARADEEP,X7,49
552,PARAS,X7,70
553,PAYTM,X8,823
554,PERSISTENT,X7,211780
555,PERSISTENT,X8,453038
556,PERSISTENT,X9,15135
557,PETRONET,X7,54352
558,PETRONET,X8,69551
559,PFC,X7,119
560,PFOCUS,X7,6500
561,PFOCUS,X8,9000
562,PFOCUS,X9,10
563,PGEL,X4,3
564,PGEL,X5,3
