Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02072026,1980061622,0003156
Trade Date <02-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,347,ALANKIT,EQ,149728,120076,80.20
20,348,ALBERTDAVD,EQ,414,307,74.15
20,349,ALCODIS,ST,625,625,100.00
20,350,ALEMBICLTD,EQ,416644,214955,51.59
20,351,ALGOQUANT,EQ,1238290,568621,45.92
20,352,ALICON,EQ,12507,10329,82.59
20,353,ALIVUS,EQ,310932,225619,72.56
20,354,ALKEM,EQ,163412,106393,65.11
20,355,ALKYLAMINE,EQ,135056,34753,25.73
20,356,ALLCARGO,EQ,5142904,2616950,50.88
20,357,ALLDIGI,EQ,8096,4117,50.85
20,358,ALLETEC,ST,14800,14000,94.59
20,359,ALLTIME,EQ,263426,103186,39.17
20,360,ALMONDZ,EQ,528451,526364,99.61
20,361,ALOKINDS,EQ,5530705,3829694,69.24
20,362,ALPA,EQ,6161,2702,43.86
20,363,ALPEXSOLAR,SM,38700,26100,67.44
20,364,ALPHA,EQ,497551,318760,64.07
20,365,ALPHAETF,EQ,407080,301018,73.95
20,366,ALPHAGEO,EQ,4988,3191,63.97
20,367,ALPL30IETF,EQ,670600,451256,67.29
20,368,ALUWIND,SM,129000,121500,94.19
20,369,AMAGI,EQ,360458,139660,38.75
20,370,AMBAAUTO,SM,35000,27000,77.14
20,371,AMBALALSA,EQ,32104,24304,75.70
20,372,AMBER,EQ,135276,41320,30.54
20,373,AMBICAAGAR,EQ,1464,1051,71.79
20,374,AMBIKCO,EQ,9666,5498,56.88
20,375,AMBUJACEM,EQ,6105874,3636548,59.56
20,376,AMCL,SM,96000,86000,89.58
20,377,AMDIND,EQ,12584,4314,34.28
20,378,AMEYA,SM,13000,10000,76.92
20,379,AMIABLE,SM,8000,4800,60.00
20,380,AMIRCHAND,EQ,811853,421078,51.87
20,381,AMJLAND,EQ,16146,12361,76.56
20,382,AMNPLST,EQ,7672,2085,27.18
20,383,AMRUTANJAN,EQ,62925,37066,58.91
20,384,ANANDRATHI,EQ,321343,156634,48.74
20,385,ANANTAM,IV,14682,14534,98.99
20,386,ANANTRAJ,EQ,2163827,961750,44.45
20,387,ANDHRAPAP,EQ,34537,22968,66.50
20,388,ANDHRSUGAR,EQ,550849,271696,49.32
20,389,ANGELONE,EQ,7636906,3403450,44.57
20,390,ANLON,ST,10800,10400,96.30
20,391,ANMOL,EQ,16327,12811,78.47
20,392,ANNAPURNA,SM,33000,25750,78.03
20,393,ANONDITA,SM,27600,25200,91.30
20,394,ANTELOPUS,EQ,62013,36226,58.42
20,395,ANTGRAPHIC,EQ,118968,80049,67.29
20,396,ANTHEM,EQ,965066,602409,62.42
20,397,ANUHPHR,EQ,68446,23355,34.12
20,398,ANUP,EQ,26338,11585,43.99
20,399,ANURAS,EQ,334935,144475,43.14
20,400,ANYA,SM,10000,5000,50.00
20,401,AONEGOLD,EQ,422691,235747,55.77
20,402,AONELIQUID,EQ,30894,29647,95.96
20,403,AONENIFTY,EQ,264733,226040,85.38
20,404,AONESILVER,EQ,452507,301440,66.62
20,405,AONETMMQ50,EQ,65885,39139,59.41
20,406,AONETOTAL,EQ,199408,185052,92.80
20,407,APARINDS,EQ,262252,73651,28.08
20,408,APCL,EQ,6731,5259,78.13
20,409,APCOTEXIND,EQ,94799,71262,75.17
20,410,APEX,EQ,70165,30424,43.36
20,411,APEXECO,ST,12000,11200,93.33
20,412,APLAPOLLO,EQ,622177,376807,60.56
20,413,APLLTD,EQ,116150,38126,32.82
20,414,APOLLO,EQ,17880802,5630748,31.49
20,415,APOLLOHOSP,EQ,152705,92433,60.53
20,416,APOLLOPIPE,EQ,124652,54604,43.81
20,417,APOLLOTYRE,EQ,4299995,1314607,30.57
20,418,APOLSINHOT,EQ,667,528,79.16
20,419,APRAMEYA,SM,1000,1000,100.00
20,420,APS,SM,11250,7250,64.44
20,421,APSISAERO,ST,2400,2400,100.00
20,422,APTUS,EQ,1909541,1060792,55.55
20,423,AQYLON,EQ,1659157,1436810,86.60
20,424,ARABIAN,SM,16000,16000,100.00
20,425,ARCHIDPLY,EQ,6229,4791,76.91
20,426,ARCHIES,EQ,44706,28947,64.75
20,427,ARCIIL,ST,11000,10000,90.91
20,428,ARE&M,EQ,1614119,454252,28.14
20,429,ARENTERP,EQ,300,245,81.67
20,430,ARFIN,EQ,1908139,307884,16.14
20,431,ARHAM,SM,3000,2000,66.67
20,432,ARIES,EQ,24489,15630,63.82
20,433,ARIHANT,EQ,7359,3586,48.73
20,434,ARIHANTCAP,EQ,50721,23646,46.62
