505336,BL,M,2026121,0.38
505343,BL,M,2026121,0.44
505343,EQ,M,2026121,0.44
505358,BL,M,2026121,258.42
505502,BL,M,2026121,1.27
505504,BL,M,2026121,244.92
505504,EQ,M,2026121,244.92
505515,BL,M,2026121,14.95
505515,EQ,M,2026121,14.95
505523,BL,M,2026121,0.43
505523,EQ,M,2026121,0.43
505650,BL,M,2026121,18.73
505650,EQ,M,2026121,18.73
505690,BL,M,2026121,902.40
505690,EQ,M,2026121,902.40
505693,BL,M,2026121,11.56
505693,EQ,M,2026121,11.56
505712,BL,M,2026121,232.86
505712,EQ,M,2026121,232.86
505720,BL,M,2026121,144.54
505720,EQ,M,2026121,144.54
505737,BL,M,2026121,606.12
505737,EQ,M,2026121,606.12
505750,BL,M,2026121,304.98
505750,EQ,M,2026121,304.98
505827,BL,M,2026121,466.56
505827,EQ,M,2026121,466.56
505840,BL,M,2026121,35.14
505840,EQ,M,2026121,35.14
505893,BL,M,2026121,1014.06
505893,EQ,M,2026121,1014.06
505978,BL,M,2026121,1309.08
505978,EQ,M,2026121,1309.08
506003,BL,M,2026121,39.29
506003,EQ,M,2026121,39.29
506105,BL,M,2026121,80.93
506105,EQ,M,2026121,80.93
506122,BL,M,2026121,96.78
506128,BL,M,2026121,172.86
506128,EQ,M,2026121,172.86
506134,BL,M,2026121,16.68
506166,BL,M,2026121,72.34
506166,EQ,M,2026121,72.34
506180,BL,M,2026121,512.40
506186,BL,M,2026121,21.90
506186,EQ,M,2026121,21.90
506365,BL,M,2026121,100.86
506365,EQ,M,2026121,100.86
506520,BL,M,2026121,7.26
506520,EQ,M,2026121,7.26
506528,BL,M,2026121,8993.52
506543,BL,M,2026121,12.54
506543,EQ,M,2026121,12.54
506579,BL,M,2026121,145.26
506579,EQ,M,2026121,145.26
506597,BL,M,2026121,702.48
506597,EQ,M,2026121,702.48
506605,BL,M,2026121,2318.64
506605,EQ,M,2026121,2318.64
506640,BL,M,2026121,138.00
506734,BL,M,2026121,115.82
506808,BL,M,2026121,80.14
506808,EQ,M,2026121,80.14
506854,BL,M,2026121,2931.06
506854,EQ,M,2026121,2931.06
506858,BL,M,2026121,69.35
506858,EQ,M,2026121,69.35
506863,BL,M,2026121,101.33
506906,BL,M,2026121,55.93
506919,BL,M,2026121,193.26
506919,EQ,M,2026121,193.26
506935,BL,M,2026121,78.30
506935,EQ,M,2026121,78.30
506979,BL,M,2026121,86.40
506981,BL,M,2026121,143.34
506981,EQ,M,2026121,143.34
507155,BL,M,2026121,162.36
507155,EQ,M,2026121,162.36
507180,BL,M,2026121,7.38
507180,EQ,M,2026121,7.38
507265,BL,M,2026121,210.78
507265,EQ,M,2026121,210.78
507300,BL,M,2026121,1174.80
507300,EQ,M,2026121,1174.80
507474,BL,M,2026121,52.98
507474,EQ,M,2026121,52.98
507498,BL,M,2026121,41.24
507498,EQ,M,2026121,41.24
507515,BL,M,2026121,28.94
507598,BL,M,2026121,121.80
507598,EQ,M,2026121,121.80
507621,BL,M,2026121,87.00
507621,EQ,M,2026121,87.00
507645,BL,M,2026121,12480.00
507645,EQ,M,2026121,12480.00
507690,BL,M,2026121,214.32
507690,EQ,M,2026121,214.32
507753,BL,M,2026121,123.72
507753,EQ,M,2026121,123.72
507759,BL,M,2026121,17.40
507759,EQ,M,2026121,17.40
