SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
JYOTI-RE,BE,INE197A20016,JYOTI STRUCTURES LTD,RE                                                                                                      
MC1RD,MF,INF903JA1DS9,SUNDARMAMC - MC1RD,EF                                                                                                           
QSIFAARR,SE,INF966L30233,QUANT AMC - QSIFAARR,EF                                                                                                      
M&MFIN-RE,BL,INE774D20016,MAHINDRA & MAHINDRA RE,RE                                                                                                   
HCG-RE,BL,INE075I20017,HEALTHCARE GLOBAL LTD,RE                                                                                                       
M15RG,MF,INF903JA1AL0,SUNDARMAMC - M15RG,EF                                                                                                           
SMALLADD,BL,INF740KA1WX3,DSPAMC - SMALLADD,EF                                                                                                         
CAPTRU-RE,BE,INE707C20018,CAPITAL TRUST LTD,RE                                                                                                        
HDFCLOWVOL,BL,INF179KC1HU8,HDFCAMC - HDFCLOWVOL,EF                                                                                                    
ALPL30IETF,EQ,INF109KC17V7,ICICIPRAMC - ICICIALPLV,EF                                                                                                 
ALPL30IETF,BL,INF109KC17V7,ICICIPRAMC - ICICIALPLV,EF                                                                                                 
CONSUMIETF,EQ,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
MID150,EQ,INF174KA1VW2,KOTAKMAMC - MID150,EF                                                                                                          
BHANDA-RE,BE,INE474E20011,BHANDARI HOSIERY EXP LTD,RE                                                                                                 
IT,BL,INF174KA1GC5,KOTAKMAMC - KOTAKIT,EF                                                                                                             
NIFTY1,EQ,INF174K014P6,KOTAK NIFTY ETF,EF                                                                                                             
GROWWCAPM,EQ,INF666M01MM4,GROWWAMC - GROWWCAPM,EF                                                                                                     
GROWWCAPM,BL,INF666M01MM4,GROWWAMC - GROWWCAPM,EF                                                                                                     
GACMDVR-RE,BE,INE224E20028,GACM TECHNOLOGIES LIMITED,RE                                                                                               
MOM100,EQ,INF247L01023,MOTILAL OS MIDCAP100 ETF,EF                                                                                                    
HDFCSML250,EQ,INF179KC1FB2,HDFCAMC - HDFCSML250,EF                                                                                                    
SICAL-RE,BE,INE075B20012,SICAL LOGISTICS LTD,RE                                                                                                       
BSLSENETFG,EQ,INF209KB10E8,BIRLASLAMC - BSLSENETFG,EF                                                                                                 
SANG-RE,BL,INE753W20010,SANGINITA CHEMICALS LTD,RE                                                                                                    
SAKUMA-RE,BE,INE190H20016,SAKUMA EXPORTS LIMITED,RE                                                                                                   
NIFTYBETA,EQ,INF789F1AZC0,UTIAMC-NIFTYBETA,EF                                                                                                         
SENSEXBETA,EQ,INF789FB1X58,UTIAMC-SENSEXBETA,EF                                                                                                       
SNXT50BETA,EQ,INF789F1AUU3,UTIAMC-SNXT50BETA,EF                                                                                                       
GROWWHOSPI,EQ,INF666M01OD9,GROWWAMC - GROWWHOSPI,EF                                                                                                   
MHLSDDR,SF,INF200K30064,SBIAMC - MHLSDDR,EF                                                                                                           
BAIDFIN-RE,BE,INE020D20014,BAID FINSERV LIMITED,RE                                                                                                    
BANKPSU,EQ,INF769K01LZ4,MIRAEAMC - BANKPSU,EF                                                                                                         
GLOBE-RE1,BE,INE581X20021,GLOBE TEXTILES LTD,RE                                                                                                       
MOMENTUM,EQ,INF209KB14K7,BIRLASLAMC - MOMENTUM,EF                                                                                                     
GDL-RE,BE,INE852F20015,GATEWAY DISTRIPARKS RE,RE                                                                                                      
NGIL-RE2,BE,INE236Y20038,NAKODA GROUP OF IND LTD,RE                                                                                                   
ISIFAAFG,SF,INF109K30059,ICICIPRAMC - ISIFAAFG,EF                                                                                                     
GROWWMOM50,BL,INF666M01KJ4,GROWWAMC - GROWWMOM50,EF                                                                                                   
TFL-RE,BE,INE804H20012,TRANSWARRANTY FINANCE LTD,RE                                                                                                   
TFL-RE,BL,INE804H20012,TRANSWARRANTY FINANCE LTD,RE                                                                                                   
ROML-RE,BE,INE294G20018,RAJ OIL MILLS LIMITED,RE                                                                                                      
ESSEN-RE2,BL,INE418N20035,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
TNIDETF,BL,INF277KA1364,TATAAML - TNIDETF,EF                                                                                                          
MAFANG,BL,INF769K01HF4,MIRAEAMC - MAFANG,EF                                                                                                           
ECAPINSURE,EQ,INF754K01TX4,EDELAMC - ECAPINSURE,EF                                                                                                    
PHARMABEES,EQ,INF204KC1089,NIPPONAMC - NETFPHARMA,EF                                                                                                  
AUTOBEES,EQ,INF204KC1337,NIPPONAMC - NETFAUTO,EF                                                                                                      
MOMENTUM,BL,INF209KB14K7,BIRLASLAMC - MOMENTUM,EF                                                                                                     
538683,EQ,INF204KA1UN7,NIPPON INDIA ETF SENSEX,EF                                                                                                     
541972,BL,INF200KA1VQ2,SBI Mutual Fund,EF                                                                                                             
MAMFGETF,BL,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                       
AKG-RE,BL,INE00Y820016,AKG EXIM LIMITED,RE                                                                                                            
GROWWCHEM,BL,INF666M01NP5,GROWWAMC - GROWWCHEM,EF                                                                                                     
JETFRE-RE,BE,INE982V20017,JET FREIGHT LOGISTICS LTD,RE                                                                                                
PSUBANKICI,EQ,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
BRIGHT-RE,ST,INE684Z20010,BRIGHT SOLAR LIMITED,RE                                                                                                     
PLPHAR-RE,BE,INE0DK520011,PIRAMAL PHARMA LIMITED,RE                                                                                                   
NIFTYETF,BL,INF769K01EG9,MIRAEAMC - MAN50ETF,EF                                                                                                       
MIDCAPETF,BL,INF769K01IC9,MIRAEAMC - MAM150ETF,EF                                                                                                     
BSE500IETF,EQ,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                   
ITIETF,BL,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                      
COMMOIETF,BL,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                  
INFRAIETF,BL,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                  
IBUL-RE,BL,INE148I20012,INDIABULLS HSG FIN LTD,RE                                                                                                     
ADRO-RE,BE,INE737B20017,ADROIT INFOTECH LIMITED,RE                                                                                                    
MOREALTY,BL,INF247L01CI4,MOTILALAMC - MOREALTY,EF                                                                                                     
KSHITI-RE,BE,INE013820019,KSHITIJ POLYLINE LIMITED,RE                                                                                                 
KSHITI-RE,BL,INE013820019,KSHITIJ POLYLINE LIMITED,RE                                                                                                 
SEPC-RE2,BE,INE964H20030,SEPC LIMITED,RE                                                                                                              
AKSH-RE,BL,INE256Z20017,AKSHAR SPINTEX LIMITED,RE                                                                                                     
GROWWDEFNC,EQ,INF666M01IO8,GROWWAMC - GROWWDEFNC,EF                                                                                                   
GEOJIT-RE,BL,INE007B20015,GEOJIT FIN SERV LTD,RE                                                                                                      
IRBIT-RE2,BL,INE0C8K20067,IRB INF TRU RE,RE                                                                                                           
SIKKO-RE,BL,INE112X20017,SIKKO INDUSTRIES LTD,RE                                                                                                      
CONSUMER,EQ,INF769K01NS5,MIRAEAMC - CONSUMER,EF                                                                                                       
CAMLIN-RE,BL,INE052I20016,CAMLIN FINE SCIENCES LTD,RE                                                                                                 
EQUAL200,EQ,INF769K01OA1,MIRAEAMC - EQUAL200,EF                                                                                                       
SELECTIPO,EQ,INF769K01ON4,MIRAEAMC - SELECTIPO,EF                                                                                                     
FUSI-RE,BL,INE139R20012,FUSION FINANCE LIMITED,RE                                                                                                     
SNXT30BEES,BL,INF204KC1EZ3,NIPPONAMC - SNXT30BEES,EF                                                                                                  
ETHOS-RE,BL,INE04TZ20018,ETHOS LIMITED,RE                                                                                                             
TTL-RE,BE,INE592B20016,T T LTD,RE                                                                                                                     
SML100CASE,BL,INF0R8F01141,ZERODHAAMC - SML100CASE,EF                                                                                                 
3IINFO-RE,BL,INE748C20012,3I INFOTECH LTD,RE                                                                                                          
IEML-RE,ST,INE0RRU20016,INDIAN EMULSIFERS LTD,RE                                                                                                      
GROWWSC250,BL,INF666M01MO0,GROWWAMC - GROWWSC250,EF                                                                                                   
KRISHFL-RE,BE,INE0GGO20015,KRISHIVAL FOODS LIMITED,RE                                                                                                 
KRISHFL-RE,BL,INE0GGO20015,KRISHIVAL FOODS LIMITED,RE                                                                                                 
PRESS-RE,SL,INE0R1620012,PRESSTONIC ENGINEERING L,RE                                                                                                  
DHARI-RE,ST,INE0YRN20017,DHARIWALCORP LTD,RE                                                                                                          
BANK10ADD,BL,INF740KA1YH2,DSPAMC - BANK10ADD,EF                                                                                                       
ENEXT50,BL,INF754K01XF3,EDELAMC - ENEXT50,EF                                                                                                          
M17DG,MF,INF903JA1BH6,SUNDARMAMC - M17DG,EF                                                                                                           
M17RD,MF,INF903JA1BG8,SUNDARMAMC - M17RD,EF                                                                                                           
