SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
EBANKNIFTY,EQ,INF754K01TE4,EDELAMC - EBANKNIFTY,EF                                                                                                    
NARMA-RE,BL,INE117Z20011,NARMADA AGROBASE LIMITED,RE                                                                                                  
MITTAL-RE1,BE,INE997Y20027,MITTAL LIFE STYLE LTD,RE                                                                                                   
GROWWDEFNC,BL,INF666M01IO8,GROWWAMC - GROWWDEFNC,EF                                                                                                   
GEOJIT-RE,BE,INE007B20015,GEOJIT FIN SERV LTD,RE                                                                                                      
GROWWRAIL,BL,INF666M01JJ6,GROWWAMC - GROWWRAIL,EF                                                                                                     
MAXIND-RE,BE,INE0CG620016,MAX INDIA LTD,RE                                                                                                            
MOINFRA,BL,INF247L01FL1,MOTILALAMC - MOINFRA,EF                                                                                                       
GROWWLOVOL,BL,INF666M01LB9,GROWWAMC - GROWWLOVOL,EF                                                                                                   
ETHOS-RE,BE,INE04TZ20018,ETHOS LIMITED,RE                                                                                                             
LLOYDSE-RE,BL,INE080I20017,LLOYDS ENTERPRISES LTD,RE                                                                                                  
NIFTYCASE,BL,INF0R8F01166,ZERODHAAMC - NIFTYCASE,EF                                                                                                   
ICICIINFRA,BL,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                 
ITETF,BL,INF769K01KV5,MIRAEAMC - ITETF,EF                                                                                                             
ONECAP-RE,BE,INE912L20015,ONELIFE ADVISORS LTD,RE                                                                                                     
MAHAPE-RE,BE,INE843B20013,MAHA RASHTRA APEX CORPOR,RE                                                                                                 
FALTECH-RE,ST,INE0PQK20013,FALCON TECHNO LTD,RE                                                                                                       
MSCI360,EQ,INF579M01BP5,360ONEAMC - MSCI360,EF                                                                                                        
MSCI360,BL,INF579M01BP5,360ONEAMC - MSCI360,EF                                                                                                        
ESSEN-RE3,BL,INE418N20043,INTEGRA ESSENTIA LTD,RE                                                                                                     
SMALLGROWW,EQ,INF666M01PG9,GROWWAMC - SMALLGROWW,EF                                                                                                   
SMALLGROWW,BL,INF666M01PG9,GROWWAMC - SMALLGROWW,EF                                                                                                   
538592,MF,INF204KA1RX2,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
538632,MF,INF204KA1SU6,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICICONSU,EQ,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
ICICIBANKP,BL,INF109KC1E35,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
543185,MF,INF204KB15T6,Nippon India Mutual Fund,EF                                                                                                    
543175,MF,INF204KB15U4,Nippon India Mutual Fund,EF                                                                                                    
543182,MF,INF204KB18T0,Nippon India Mutual Fund,EF                                                                                                    
VARDM-RE,BL,INE835A20011,VARDHMAN POLYTEX LIMITED,RE                                                                                                  
UCL-RE,ST,INE00NI20015,USHANTI COLOUR CHEM LTD,RE                                                                                                     
ITADD,EQ,INF740KA1SX1,DSPAMC - DSPIT,EF                                                                                                               
MOCAPITAL,EQ,INF247L01EV3,MOTILALAMC - MOCAPITAL,EF                                                                                                   
NACL-RE,BE,INE295D20012,NACL INDUSTRIES LTD,RE                                                                                                        
SEPC-RE1,BL,INE964H20022,SEPC LIMITED,RE                                                                                                              
EQUAL50ADD,EQ,INF740KA1QK2,DSPAMC - DSPNEWETF,EF                                                                                                      
PSUBANKADD,EQ,INF740KA1SY9,DSPAMC - DSPPSBKETF,EF                                                                                                     
HDFCNIFBAN,BL,INF179KC1HY0,HDFCAMC - HDFCNIFBAN,EF                                                                                                    
ICICINXT50,EQ,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
MONIFTY100,BL,INF247L01GG9,MOTILALAMC - MONIFTY100,EF                                                                                                 
EXICOM-RE,BE,INE777F20014,EXICOM TELE-SYSTEMS LTD,RE                                                                                                  
VALUE,EQ,INF769K01QV2,MIRAEAMC - VALUE,EF                                                                                                             
HINDWAR-RE,BE,INE05AN20011,HINDWARE HME INOVATON LTD,RE                                                                                               
AJOONI-RE1,BE,INE820Y20021,AJOONI BIOTECH LIMITED,RE                                                                                                  
SBINEQWETF,EQ,INF200KB1282,SBIAMC - SBINEQWETF,EF                                                                                                     
COMP-RE,BL,INE070C20011,COMPUAGE INFOCOM LTD,RE                                                                                                       
MONIFTY500,BL,INF247L01BU1,MOTILALAMC - MONIFTY500,EF                                                                                                 
JFL-RE,ST,INE0LA920015,JFL LIFE SCIENCES LTD,RE                                                                                                       
BFSI,BL,INF769K01HI8,MIRAEAMC - MAFSETF,EF                                                                                                            
BFSI,EQ,INF769K01HI8,MIRAEAMC - MAFSETF,EF                                                                                                            
INVENT-RE,BE,INE878H20016,INVENTURE GRO & SEC LTD,RE                                                                                                  
MANAV-RE,ST,INE104Y20012,MANAV INFRA PROJECTS LTD,RE                                                                                                  
SBIETFQLTY,BL,INF200KA1WX6,SBIAMC - SBIETFQLTY,EF                                                                                                     
751125,BE,INE876A20015,Oasis Securities Limited,RE                                                                                                    
EC6RD,MF,INF903JA1EU3,SUNDARMAMC - EC6RD,EF                                                                                                           
TOP100CASE,EQ,INF0R8F01067,ZERODHAAMC - TOP100CASE,EF                                                                                                 
IEML-RE,SL,INE0RRU20016,INDIAN EMULSIFERS LTD,RE                                                                                                      
GREEN-RE,BL,INE999K20014,ORIENT GREEN POWER CO LTD,RE                                                                                                 
SETFNIFBK,BL,INF200KA1580,SBI-ETF NIFTY BANK,EF                                                                                                       
UTIFEFRDP2,MF,INF789FA14T1,UTIAMC - UTIFEFRDP2,EF                                                                                                     
SC2RG,MF,INF903J01X66,SUNDARMAMC - SC2RG,EF                                                                                                           
PSUBNKBEES,EQ,INF204KB16I7,NIP IND ETF PSU BANK BEES,EF                                                                                               
T5DD,MF,INF903J011D9,SUNDARMAMC - T5DD,EF                                                                                                             
NPBET,BL,INF277K010X4,TATAAML - NPBET,EF                                                                                                              
SRTRANS-RE,BE,INE721A20013,SHRIRAM TRANSPORT RE,RE                                                                                                    
AXISVALUE,EQ,INF846KA1119,AXISAMC - AXISVALUE,EF                                                                                                      
KEEPLN-RE,BE,INE055C20012,DSJ KEEP LEARNING LTD,RE                                                                                                    
ESENSEX,EQ,INF754K01VY8,EDELAMC - ESENSEX,EF                                                                                                          
AONETMMQ50,EQ,INF1J2R01148,AONEAMC - AONETMMQ50,EF                                                                                                    
BALKRI-RE,BE,INE875R20011,BALKRSHNA PAPER MILLS LTD,RE                                                                                                
MOALPHA50,BL,INF247L01FR8,MOTILALAMC - MOALPHA50,EF                                                                                                   
NAGREE-RE,BE,INE123B20010,NAGREEKA EXPORTS LIMITED,RE                                                                                                 
CHEMICAL,BL,INF174KA1XV0,KOTAKMAMC - CHEMICAL,EF                                                                                                      
SAKUMA-RE,BL,INE190H20016,SAKUMA EXPORTS LIMITED,RE                                                                                                   
ALPHAETF,BL,INF769K01KU7,MIRAEAMC - ALPHAETF,EF                                                                                                       
QUALITY30,EQ,INF174KA1WT6,KOTAKMAMC - QUALITY30,EF                                                                                                    
BAIDFIN-RE,BL,INE020D20014,BAID FINSERV LIMITED,RE                                                                                                    
HDFCNEXT50,BL,INF179KC1HS2,HDFCAMC - HDFCNEXT50,EF                                                                                                    
SUVEN-RE,BE,INE495B20012,SUVEN LIFE SCIENCES LTD,RE                                                                                                   
GATECH-RE1,BE,INE224E20036,GACM TECHNO LTD,RE                                                                                                         
NEXT50ADD,EQ,INF740KA1XU7,DSPAMC - NEXT50ADD,EF                                                                                                       
EC2RG,MF,INF903JA1CP7,SUNDARMAMC - EC2RG,EF                                                                                                           
WOCKH-RE,BE,INE049B20017,WOCKHARDT LIMITED,RE                                                                                                         
MC1DD,MF,INF903JA1DU5,SUNDARMAMC - MC1DD,EF                                                                                                           
MC1DG,MF,INF903JA1DT7,SUNDARMAMC - MC1DG,EF                                                                                                           
NGIL-RE,BE,INE236Y20012,NAKODA GRP OF IND LTD,RE                                                                                                      
TOP20,EQ,INF769K01PZ5,MIRAEAMC - TOP20,EF                                                                                                             
JYOTI-RE1,BL,INE197A20024,JYOTI STRUCTURES LIMITED,RE                                                                                                 
ICICIPHARM,EQ,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
PNB-RE,BL,INE572E20012,PNB HOUSING FIN LTD.,RE                                                                                                        
AVANTEL-RE,BE,INE005B20019,AVANTEL LIMITED,RE                                                                                                         
EC3RD,MF,INF903JA1DC3,SUNDARMAMC - EC3RD,EF                                                                                                           
ICICIM150,EQ,INF109KC1G82,ICICIPRAMC - ICICIM150,EF                                                                                                   
HEALTHY,EQ,INF209KB10C2,BIRLASLAMC - HEALTHY,EF                                                                                                       
MAHLOG-RE,BE,INE766P20016,MAHINDRA LOGISTICS LTD,RE                                                                                                   
AXISHCETF,BL,INF846K01Z12,AXISAMC - AXISHCETF,EF                                                                                                      
MOM50,EQ,INF247L01536,MOTILAL OSWAL M50 ETF,EF                                                                                                        
ROCK-RE,ST,INE0PTR20012,ROCKINGDEALS CIR ECO LTD,RE                                                                                                   
HDFCBSE500,EQ,INF179KC1EZ4,HDFCAMC - HDFCBSE500,EF                                                                                                    
HDFCBSE500,BL,INF179KC1EZ4,HDFCAMC - HDFCBSE500,EF                                                                                                    
SICAL-RE,BL,INE075B20012,SICAL LOGISTICS LTD,RE                                                                                                       
DELPH-RE,BL,INE726L20019,ELPHI WORLD MONEY LTD,RE                                                                                                     
APCL-RE,BE,INE071F20012,ANJANI PORTLAND CEM LTD,RE                                                                                                    
NIFTYBETA,BL,INF789F1AZC0,UTIAMC-NIFTYBETA,EF                                                                                                         
MIDCAPBETA,BL,INF789F1AYX9,UTIAMC-MIDCAPBETA,EF                                                                                                       
544649,MF,INF277K30047,Tata Mutual Fund,EF                                                                                                            
INFRA,BL,INF769K01QB4,MIRAEAMC - INFRA,EF                                                                                                             
SDBL-RE1,BL,INE480C20020,SOM DIST & BREW LTD,RE                                                                                                       
RIL-RE,BE,INE002A20018,RELIANCE INDUSTRIES RE,RE                                                                                                      
ICICI500,EQ,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                     
M&MFIN-RE,BE,INE774D20016,MAHINDRA & MAHINDRA RE,RE                                                                                                   
IIFL-RE,BE,INE530B20016,IIFL FINANCE LIMITED,RE                                                                                                       
MOQUALITY,BL,INF247L01BH8,MOTILALAMC - MOQUALITY,EF                                                                                                   
MODEFENCE,BL,INF247L01DJ0,MOTILALAMC - MODEFENCE,EF                                                                                                   
SMALL250,EQ,INF769K01PQ4,MIRAEAMC - SMALL250,EF                                                                                                       
VIJIFI-RE,BL,INE159N20019,VIJI FINANCE LIMITED,RE                                                                                                     
GACMDVR-RE,BL,INE224E20028,GACM TECHNOLOGIES LIMITED,RE                                                                                               
DHAN-RE,BL,INE680A20011,DHANLAXMI BANK LTD,RE                                                                                                         
VALIANT-RE,BE,INE0JWS20017,VALIANT LABORATORIES LTD,RE                                                                                                
HDFCMOMENT,BL,INF179KC1HV6,HDFCAMC - HDFCMOMENT,EF                                                                                                    
ALPHAETF,EQ,INF769K01KU7,MIRAEAMC - ALPHAETF,EF                                                                                                       
MONQ50,EQ,INF247L01AU3,MOTILALAMC - MONQ50,EF                                                                                                         
MONQ50,BL,INF247L01AU3,MOTILALAMC - MONQ50,EF                                                                                                         
MOMOMENTUM,EQ,INF247L01BK2,MOTILALAMC - MOMOMENTUM,EF                                                                                                 
MOMOMENTUM,BL,INF247L01BK2,MOTILALAMC - MOMOMENTUM,EF                                                                                                 
ESSEN-RE,BE,INE418N20019,INTEGRA ESSENTIA LIMITED,RE                                                                                                  
AVG-RE,BL,INE680Z20018,AVG LOGISTICS LIMITED,RE                                                                                                       
NEXT50,BL,INF769K01FN2,MIRAEAMC - MANXT50,EF                                                                                                          
MOVALUE,BL,INF247L01BE5,MOTILALAMC - MOVALUE,EF                                                                                                       
535276,BL,INF200K01VT2,SBI MUTUAL FUND - SBI ETF SENS,EF                                                                                              
542747,EQ,INF204KB15D0,NIPPON INDIA ETF SENSEX NEXT 5,EF                                                                                              
HDFCVALUE,EQ,INF179KC1DK8,HDFCAMC - HDFCVALUE,EF                                                                                                      
HDFCNIFIT,BL,INF179KC1IA8,HDFCAMC - HDFCNIFIT,EF                                                                                                      
ICICICOMMO,BL,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                 
RSWM-RE,BL,INE611A20016,RSWM LIMITED,RE                                                                                                               
DESTIN-RE,ST,INE0IGO20011,DESTINY LOGISTICS & I LTD,RE                                                                                                
PSUBANKICI,BL,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
BSE500IETF,BL,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                   
BANKIETF,EQ,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                     
BANKIETF,BL,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                     
FINIETF,EQ,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                        
NV20IETF,EQ,INF109KC11V0,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                 
HEALTHADD,BL,INF740KA1UF4,DSPAMC - HEALTHADD,EF                                                                                                       
IBUL-RE,BE,INE148I20012,INDIABULLS HSG FIN LTD,RE                                                                                                     
GROWEV,BL,INF666M01IH2,GROWWAMC - GROWWEV,EF                                                                                                          
TOP10ADD,EQ,INF740KA1UR9,DSPAMC - TOP10ADD,EF                                                                                                         
TOP10ADD,BL,INF740KA1UR9,DSPAMC - TOP10ADD,EF                                                                                                         
SADHNAN-RE,BL,INE888C20016,SADHANA NITROCHEM LIMITED,RE                                                                                               
MOMENTUM50,EQ,INF247L01DK8,MOTILALAMC - MOMENTUM50,EF                                                                                                 
MOMENTUM50,BL,INF247L01DK8,MOTILALAMC - MOMENTUM50,EF                                                                                                 
NIFTY100EW,EQ,INF174KA1UW4,KOTAKMAMC - NIFTY100EW,EF                                                                                                  
SELECTIPO,BL,INF769K01ON4,MIRAEAMC - SELECTIPO,EF                                                                                                     
MAXIND-RE,BL,INE0CG620016,MAX INDIA LTD,RE                                                                                                            
M&MFIN-RE1,BL,INE774D20024,MAHINDRA & MAHINDRA RE,RE                                                                                                  
SNXT30BEES,EQ,INF204KC1EZ3,NIPPONAMC - SNXT30BEES,EF                                                                                                  
QMSMEDI-RE,ST,INE0FMW20018,QMS MEDI LTD,RE                                                                                                            
SHRADHA-RE,BL,INE715Y20015,SHRADHA INFRAPROJECTS LTD,RE                                                                                               
HILTON-RE1,BL,INE788H20025,HILTON METAL FORGING LTD,RE                                                                                                
DEFENCE,EQ,INF769K01QC2,MIRAEAMC - DEFENCE,EF                                                                                                         
ONECAP-RE,BL,INE912L20015,ONELIFE ADVISORS LTD,RE                                                                                                     
TIL-RE1,BL,INE806C20026,TIL LTD,RE                                                                                                                    
MAHAPE-RE,BL,INE843B20013,MAHA RASHTRA APEX CORPOR,RE                                                                                                 
M17DD,MF,INF903JA1BI4,SUNDARMAMC - M17DD,EF                                                                                                           
EC4DD,MF,INF903JA1DQ3,SUNDARMAMC - EC4DD,EF                                                                                                           
SADHNA-RE,BL,INE888C20024,SADHANA NITROCHEM LTD,RE                                                                                                    
SHARE-RE,BL,INE932X20018,SHARE IND SEC LTD,RE                                                                                                         
MOM30IETF,EQ,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                  
MOMENTUM30,EQ,INF174KA1XS6,KOTAKMAMC - MOMENTUM30,EF                                                                                                  
543183,MF,INF204KB19T8,Nippon India Mutual Fund,EF                                                                                                    
GROWWRLTY,BL,INF666M01MN2,GROWWAMC - GROWWRLTY,EF                                                                                                     
MOIPO,EQ,INF247L01GI5,MOTILALAMC - MOIPO,EF                                                                                                           
EVINDIA,EQ,INF769K01LQ3,MIRAEAMC - EVINDIA,EF                                                                                                         
MIDQ50ADD,EQ,INF740KA1QL0,DSPAMC - DSPQ50ETF,EF                                                                                                       
PRAXIS-RE2,BL,INE546Y20030,PRAXIS HOME RETAIL,RE                                                                                                      
MIDSMALL,BL,INF769K01LJ8,MIRAEAMC - MIDSMALL,EF                                                                                                       
HEALTHCARE,EQ,INF769K01QA6,MIRAEAMC - HEALTHCARE,EF                                                                                                   
ENEXT50,EQ,INF754K01XF3,EDELAMC - ENEXT50,EF                                                                                                          
ABSLMSCIN,EQ,INF209KC1662,BIRLASLAMC - ABSLMSCIN,EF                                                                                                   
BANKNIFTY1,BL,INF174KA1ZB7,KOTAKMAMC-KOTAKBKETF,EF                                                                                                    
ALPHA,EQ,INF174KA1IA5,KOTAKMAMC - KOTAKALPHA,EF                                                                                                       
CONS,BL,INF174KA1ZF8,KOTAKMAMC - KOTAKCONS,EF                                                                                                         
NIFTY1,BL,INF174K014P6,KOTAK NIFTY ETF,EF                                                                                                             
SOUTH-RE,BE,INE683A20015,THE SOUTH INDIAN BANK LTD,RE                                                                                                 
GLOBE-RE,BL,INE581X20013,GLOBE TEXTILES LIMITED,RE                                                                                                    
AARTI-RE,BL,INE09EO20013,AARTI SURFACTANTS LIMITED,RE                                                                                                 
RHEXHDRG,SF,INF336L30015,HSBCAMC - RHEXHDRG,EF                                                                                                        
MGEL-RE,BL,INE0APB20016,MANGALAM GLOBAL ENT LTD,RE                                                                                                    
JTEKT-RE,BE,INE643A20019,JTEKT INDIA LTD,RE                                                                                                           
ICICILOVOL,EQ,INF109KB10T8,ICICI PR NIF LW VL 30 ETF,EF                                                                                               
MSCIINDIA,EQ,INF174KA1VD2,KOTAKMAMC - MSCIINDIA,EF                                                                                                    
SBIETFQLTY,EQ,INF200KA1WX6,SBIAMC - SBIETFQLTY,EF                                                                                                     
751124,BE,INE245H20018,MARG TECHNO PROJECTS LIMITED,RE                                                                                                
NGIL-RE1,BL,INE236Y20020,NAKODA GRP OF IND LTD,RE                                                                                                     
ICICIBANKN,BL,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                   
METAL,EQ,INF769K01LY7,MIRAEAMC - METAL,EF                                                                                                             
SUMEET-RE,BE,INE235C20010,SUMEET INDUSTRIES LTD,RE                                                                                                    
QSIFAADG,SF,INF966L30241,QUANT AMC - QSIFAADG,EF                                                                                                      
SHAH-RE1,BL,INE482J20021,SHAH METACORP LTD,RE                                                                                                         
