MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,SDREAMS,S D RETAIL LIMITED,        95.00,        95.00,        95.50,        95.00,        95.50,                   190500.00,2000, ,       146.95,        66.05
N,SM,SJLOGISTIC,S J LOGISTICS (INDIA) LTD,       327.50,       327.60,       355.00,       327.45,       349.75,                 26689137.50,77500, ,       481.00,       225.35
N,ST,SAAKSHI,SAAKSHI MEDTEC N PANELS L,       304.10,       290.10,       310.00,       288.90,       294.15,                  7924890.00,27000, ,       331.00,       147.40
N,SM,SABAR,SABAR FLEX INDIA LIMITED,         6.00,         5.75,         6.05,         5.70,         5.70,                   347750.00,60000, ,         9.55,         4.00
N,SM,SACHEEROME,SACHEEROME LIMITED,       315.05,       321.95,       354.50,       319.40,       354.25,                 23782245.00,69300, ,       430.65,       148.00
N,SM,SADHAV,SADHAV SHIPPING LIMITED,       112.75,       113.00,       118.00,       113.00,       115.35,                  2768040.00,24000, ,       131.90,        86.30
N,SM,SAFEENTP,SAFE ENTER RETAIL FIX LTD,       299.80,       303.30,       305.80,       287.00,       288.30,                 28268150.00,95500, ,       319.00,       160.50
N,SM,SAHAJSOLAR,SAHAJ SOLAR LIMITED,       129.60,       130.00,       135.00,       130.00,       134.30,                   849020.00,6400, ,       279.50,        91.00
N,SM,SAHANA,SAHANA SYSTEM LIMITED,       891.60,       880.65,       907.90,       880.65,       903.65,                  8074743.75,9000, ,      1480.00,       685.00
G,ST,SAHASRA,SAHASRA ELECTRONIC SOLU L,       310.65,       304.45,       304.45,       304.45,       304.45,                  4627640.00,15200, ,       373.00,       188.35
N,SM,SAJHOTELS,SAJ HOTELS LIMITED,        31.40,        33.00,        34.75,        31.00,        32.45,                  6032000.00,184000, ,        80.25,        27.20
N,SM,SAMAY,SAMAY PROJECT SERVICES L,        48.30,        49.95,        50.25,        48.00,        49.80,                  4363000.00,88000, ,        51.30,        28.50
N,SM,SAIFL,SAMEERA AGRO AND INFRA L,         5.05,         5.10,         5.10,         5.00,         5.10,                  1541600.00,304000, ,        32.75,         4.90
N,SM,SANGANI,SANGANI HOSPITALS LIMITED,        44.90,        45.00,        45.00,        45.00,        45.00,                    67500.00,1500, ,        77.00,        37.00
N,SM,SARTELE,SAR TELEVENTURE LIMITED,       142.75,       143.90,       145.95,       138.80,       140.20,                  6481050.00,45500, ,       275.95,       106.95
N,SM,SAROJA,SAROJA PHARMA INDUS IND L,        33.00,        33.00,        33.00,        33.00,        33.00,                    52800.00,1600, ,        60.00,        28.00
N,ST,SATKARTAR,SAT KARTAR LIFE LIMITED,       142.85,       145.40,       149.90,       145.40,       149.85,                  2846920.00,19200, ,       219.80,       124.00
N,SM,SSEGL,SATHLOKHAR SYN E&C GLOB L,       313.50,       313.00,       325.00,       310.00,       322.15,                  6407120.00,20200, ,       580.00,       283.00
N,ST,SATIPOLY,SATI POLY PLAST LIMITED,        31.85,        33.40,        33.40,        33.40,        33.40,                   100200.00,3000, ,        94.30,        27.15
N,SM,SATTVAENGG,SATTVA ENGINEERING CSTN L,        72.35,        72.35,        76.00,        70.00,        73.10,                  2443520.00,33600, ,       118.90,        43.50
N,SM,SAVY,SAVY INFRA AND LOGI LTD,       125.00,       124.00,       127.90,       122.10,       124.05,                  3955320.00,31200, ,       191.00,       115.50
N,SM,SAWALIYA,SAWALIYA FOOD PRODUCTS L,       302.40,       306.00,       307.00,       303.00,       305.00,                 10799910.00,35400, ,       351.00,       208.00
N,SM,SHANTHALA,SHANTHALA FMCG PRODUCTS L,        23.40,        23.00,        23.85,        23.00,        23.45,                    83880.00,3600, ,        46.90,        20.90
N,SM,SCML,SHARP CHUCKS N MACHINES L,        76.85,        74.60,        79.00,        74.60,        77.95,                   465050.00,6000, ,       159.50,        68.05
N,ST,SHEEL,SHEEL BIOTECH LIMITED,        71.00,        71.90,        71.90,        71.90,        71.90,                   287600.00,4000, ,        95.55,        37.80
N,SM,SHEETAL,SHEETAL UNIVERSAL LIMITED,       295.95,       297.00,       297.00,       289.00,       292.55,                  9890975.00,33500, ,       335.00,       114.00
N,ST,SHERA,SHERA ENERGY LIMITED,       163.00,       161.95,       161.95,       156.60,       157.10,                  1583950.00,10000, ,       183.15,        94.95
N,SM,SHIGAN,SHIGAN QUANTUM TECH LTD,        65.00,        64.00,        64.00,        64.00,        64.00,                   192000.00,3000, ,        95.00,        41.20
N,SM,SPCL,SHIVALIC POWER CONTROL L,        70.15,        69.55,        70.00,        68.40,        70.00,                  1041360.00,15000, ,       138.90,        59.00
N,SM,SHIVASHRIT,SHIVASHRIT FOODS LIMITED,       126.65,       128.00,       128.80,       120.00,       120.90,                  5131900.00,41000, ,       148.50,        96.00
N,SM,SHREEKARNI,SHREE KARNI FABCOM LTD,       435.00,       438.50,       439.00,       425.00,       427.00,                  1996560.00,4650, ,       712.00,       329.95
N,SM,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,        54.55,        56.00,        57.00,        55.00,        55.00,                   280000.00,5000, ,       123.95,        50.10
N,ST,SHREEDHAR,SHREEDHAR SPINNERS LTD,        57.10,        56.50,        59.95,        56.50,        59.95,                 17265800.00,298000, ,        59.95,        54.40
N,ST,SHETHJI,SHREEJI GLOBAL FMCG LTD,       154.20,       154.00,       157.00,       152.10,       152.40,                  1999100.00,13000, ,       185.00,        95.50
N,ST,SHRIAHIMSA,SHRI AHIMSA NATURALS LTD,       438.70,       444.00,       455.00,       417.00,       418.35,                 52757490.00,124800, ,       455.00,       147.00
N,SM,SHKSIL,SHRI HARE-KRI SPO IRON L,        36.20,        36.95,        37.10,        36.95,        37.00,                   296100.00,8000, ,        84.00,        35.00
N,ST,SHRIKANHA,SHRI KANHA STAINLESS LTD,        26.20,        24.90,        25.50,        24.90,        25.50,                   200400.00,8000, ,        88.00,        15.10
N,SM,SHUBHLAXMI,SHUBHLAXMI JEWEL ART LTD,        25.20,        26.00,        26.00,        24.50,        25.70,                   763700.00,30000, ,        40.00,        13.35
N,ST,SHYAMDHANI,SHYAM DHANI INDUSTRIES L,        62.35,        64.00,        64.00,        63.00,        63.00,                   635000.00,10000, ,       139.65,        47.00
N,SM,SIDDHICOTS,SIDDHI COTSPIN LIMITED,        29.00,        29.00,        29.10,        29.00,        29.00,                   243720.00,8400, ,        86.40,        26.50
N,SM,SIDDHIKA,SIDDHIKA COATINGS LIMITED,       220.95,       220.00,       220.00,       220.00,       220.00,                   220000.00,1000, ,       250.00,       180.65
N,ST,SIGNORIA,SIGNORIA CREATION LIMITED,       110.85,       110.85,       110.85,       105.35,       107.00,                  2326500.00,22000, ,       122.45,        53.10
N,ST,SILKFLEX,SILKFLEX POLYMERS INDIA L,       220.00,       220.00,       220.00,       220.00,       220.00,                   660000.00,3000, ,       232.50,        76.00
N,SM,SILKY,SILKY OVERSEAS LIMITED,       105.00,       107.90,       107.90,       107.90,       107.90,                    86320.00,800, ,       171.00,       103.00
N,SM,SIMCA,SIMCA ADVERTISING LIMITED,       182.85,       183.00,       184.45,       182.50,       183.15,                 26371530.00,144000, ,       184.45,       132.00
N,SM,SKP,SKP BEARING INDUSTRI. LTD,       155.00,       158.75,       158.75,       158.75,       158.75,                   158750.00,1000, ,       238.00,       137.00
N,ST,SLONE,SLONE INFOSYSTEMS LIMITED,       132.35,       125.75,       133.35,       125.75,       132.65,                  2542600.00,20000, ,       371.45,       110.00
N,ST,SMARTEN,SMARTEN POWER SYSTEMS LTD,        59.35,        60.00,        60.50,        58.90,        60.45,                   793620.00,13200, ,       157.95,        42.00
N,SM,SMVD,SMVD POLY PACK LIMITED,        12.10,        12.10,        12.70,        12.00,        12.70,                   148672.00,12120, ,        14.15,         5.60
N,ST,SNEHAA,SNEHAA ORGANICS LIMITED,        44.40,        44.40,        46.60,        44.40,        46.60,                   648000.00,14000, ,       122.00,        35.50
N,ST,SONAMAC,SONA MACHINERY LIMITED,        34.65,        33.45,        34.55,        33.00,        33.05,                   366300.00,11000, ,        89.60,        27.10
N,ST,SONUINFRA,SONU INFRATECH LIMITED,        49.65,        47.20,        47.20,        47.20,        47.20,                   141600.00,3000, ,       139.40,        38.00
N,ST,SPEB,SPEB ADHESIVES LIMITED,        87.35,        91.00,        91.00,        91.00,        91.00,                   182000.00,2000, ,        98.25,        46.55
N,SM,SPPPOLY,SPP POLYMER LIMITED,        13.35,        13.85,        13.85,        13.10,        13.10,                    53900.00,4000, ,        18.35,        10.30
N,SM,SPUNWEB,SPUNWEB NONWOVEN LIMITED,       102.85,       104.00,       109.00,       104.00,       108.60,                  1677360.00,15600, ,       173.55,        80.00
N,ST,SSFL,SRIVARI SPICES N FOODS L,       294.15,       295.10,       295.10,       279.45,       279.45,                  9217500.00,32500, ,       295.10,        86.00
N,SM,SRIVASAVI,SRIVASAVI ADHESIVE TAPE L,        66.80,        68.50,        77.70,        68.50,        76.20,                  2485100.00,34000, ,        77.70,        39.00
N,SM,STRIDERS,STRIDERS IMPEX LIMITED,        55.45,        56.50,        56.50,        54.00,        56.50,                  1166320.00,20800, ,        82.00,        49.00
N,ST,STUDIOLSD,STUDIO LSD LIMITED,         9.45,         9.45,         9.65,         9.45,         9.55,                    95000.00,10000, ,        43.20,         7.15
N,SM,SUBAHOTELS,SUBA HOTELS LIMITED,       115.50,       114.50,       124.70,       114.50,       121.70,                 11325720.00,93600, ,       200.00,        97.65
