DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JUL-2026,FUTSTK,CROMPTON,24-SEP-2026,278.30
02-JUL-2026,FUTSTK,CROMPTON,29-SEP-2026,278.55
02-JUL-2026,FUTSTK,CUMMINSIND,28-JUL-2026,5562.50
02-JUL-2026,FUTSTK,CUMMINSIND,30-JUL-2026,5605.00
02-JUL-2026,FUTSTK,CUMMINSIND,25-AUG-2026,5593.00
02-JUL-2026,FUTSTK,CUMMINSIND,27-AUG-2026,5635.00
02-JUL-2026,FUTSTK,CUMMINSIND,24-SEP-2026,5663.00
02-JUL-2026,FUTSTK,CUMMINSIND,29-SEP-2026,5668.00
02-JUL-2026,FUTSTK,DABUR,28-JUL-2026,444.15
02-JUL-2026,FUTSTK,DABUR,30-JUL-2026,449.10
02-JUL-2026,FUTSTK,DABUR,25-AUG-2026,446.35
02-JUL-2026,FUTSTK,DABUR,27-AUG-2026,451.50
02-JUL-2026,FUTSTK,DABUR,24-SEP-2026,453.80
02-JUL-2026,FUTSTK,DABUR,29-SEP-2026,454.20
02-JUL-2026,FUTSTK,DALBHARAT,28-JUL-2026,1756.20
02-JUL-2026,FUTSTK,DALBHARAT,30-JUL-2026,1756.10
02-JUL-2026,FUTSTK,DALBHARAT,25-AUG-2026,1764.40
02-JUL-2026,FUTSTK,DALBHARAT,27-AUG-2026,1765.50
02-JUL-2026,FUTSTK,DELHIVERY,28-JUL-2026,512.45
